,sigmarev,ceui,within,between,temporal
2019Q1,0.09744100786045382,17.61964678610771,4.7182449527723875,10.857585609427689,12.765222397649312
2019Q2,0.06439812124694402,14.595031089521028,4.133328205405945,8.016524229118048,11.495068799888093
2019Q3,0.10767378689219165,15.493030806172115,4.16514248483786,11.69881883111386,10.11468881696306
2019Q4,0.12081614777100617,17.25901837316828,4.198680265935754,8.4888599131773,9.597430608145308
2020Q1,0.2089270786859328,15.75975564352296,4.258007388535683,7.305570094733718,11.084777457536731
2020Q2,0.18755370186085196,11.01095619713948,3.9369365519920603,6.308935828772905,10.156883939375335
2020Q3,0.2689920283710713,13.21258671848044,4.218537441053996,9.770384747662872,8.770624843327964
2020Q4,0.24343239727804378,14.31701947056845,3.780057117873553,8.365552720696458,9.647503353877028
2021Q1,0.5743140789522145,12.255395729989365,3.733297574500873,8.7989671859219,8.25559453545132
2021Q2,0.9345572835223518,14.041006885527045,4.056314720334562,7.048671657592473,7.959192205746712
2021Q3,0.8143344114828662,12.421137509835486,3.352933647609318,6.318217951265146,8.016443602687698
2021Q4,0.5267390350548938,12.320631511870626,3.5671672297816475,6.756928253282692,6.594431755877555
2022Q1,0.22669440922805206,12.22168213008767,3.182713220838086,3.323448349574824,7.686298492481725
2022Q2,0.3463389435579764,9.264609937312931,3.3726299340306403,5.416090567002866,9.143628512109196
2022Q3,0.6308798420583109,10.341815491473557,3.3378293195176068,4.495957899599424,7.303070780687129
2022Q4,0.6755479438571895,12.632284857897918,3.2511703694288343,5.68596271046538,7.3005176581858695
2023Q1,0.12754851547738294,12.13240496710323,3.1640269840237516,5.723763307913994,7.250779576696542
2023Q2,0.20032545935135654,7.925207373902847,2.737494343339271,3.077278986445551,5.870429530241
2023Q3,0.1434327191560532,8.361160115929989,2.747063489865931,0.8354278688995569,5.567124969286211
2023Q4,0.12623641949202796,8.234353396225712,2.6365115124553773,5.301918451910334,4.109435941504347
2024Q1,0.09577521147266661,5.543905574297646,2.6761065289739587,1.692651906326196,2.9391854846187986
2024Q2,0.13717054989455352,3.2436393279963194,2.432817350214091,4.165919435693101,5.647963441913621
2024Q3,0.055682980684445396,4.02653619127494,2.6559994739526753,1.2347404446992405,2.8259632892788704
2024Q4,0.09431680920964954,3.959259194738669,3.1260361535446775,1.7476499074043839,5.696169412466839
2025Q1,0.040120627999029004,2.28343106284331,2.2795205209252827,2.2683543326368873,2.833307054428582
