Year,Month,European_News_Index,Germany_News_Index,Italy_News_Index,UK_News_Index,France_News_Index,Spain_News_Index
1987,1.0,57.10734637573507,,,,69.95834445165613,
1987,2.0,49.240592929990015,,,,60.32131730539869,
1987,3.0,79.67974655245631,,,,97.61026398358277,
1987,4.0,63.258818684470874,,,,77.494096784253,
1987,5.0,47.488353580001466,,,,58.17476748671668,
1987,6.0,71.71051922820536,,,,87.84770302521915,
1987,7.0,33.791031232908495,,,,41.39510505031857,
1987,8.0,37.788699375742745,,,,46.29237769015958,
1987,9.0,35.24237126692512,,,,43.17304348486217,
1987,10.0,99.4036132210532,,,,121.77263793178881,
1987,11.0,124.73958909789144,,,,152.81002698763578,
1987,12.0,77.43884430723611,,,,94.86508632951801,
1988,1.0,83.657220833556,,,,102.48279849033419,
1988,2.0,65.58226896763918,,,,80.34039845193568,
1988,3.0,75.881996698829,,,,92.95789770739076,
1988,4.0,65.33728724610432,,,,80.04028792768311,
1988,5.0,72.2977599477178,,,,88.5670918804006,
1988,6.0,65.37028587602661,,,,80.08071231552537,
1988,7.0,44.880695293452376,,,,54.98030183211694,
1988,8.0,69.29237286615759,,,,84.88539560127386,
1988,9.0,72.89228952900795,,,,89.29540982676325,
1988,10.0,51.695467696649125,,,,63.3286182116896,
1988,11.0,82.80427878459035,,,,101.43791692174857,
1988,12.0,61.84645166330196,,,,75.76390154966796,
1989,1.0,48.01780289217984,,,,58.82336000067044,
1989,2.0,47.938130875029366,,,,58.72575920545404,
1989,3.0,47.94730505314628,,,,58.736997870065444,
1989,4.0,41.01425339323069,,,,50.24378557940315,
1989,5.0,44.27366240462327,,,,54.236666930036556,
1989,6.0,81.83673972525027,,,,100.2526503128188,
1989,7.0,71.61942130898964,,,,87.73610513080133,
1989,8.0,57.91299807042255,,,,70.94529380829715,
1989,9.0,64.91487132392074,,,,79.52281477472742,
1989,10.0,74.73102042363885,,,,91.5479145821785,
1989,11.0,88.79293694855073,,,,108.77421666646194,
1989,12.0,54.88849454703697,,,,67.24017927028106,
1990,1.0,61.93669724075808,,,,75.87445529789109,
1990,2.0,93.00525868049246,,,,113.93444688842843,
1990,3.0,109.691056800601,,,,134.37508870458083,
1990,4.0,78.4212942037075,,,,96.06861919570355,
1990,5.0,51.54217251969118,,,,63.14082666694084,
1990,6.0,82.67877970132028,,,,101.28417648986074,
1990,7.0,52.089849801114475,,,,63.8117490321663,
1990,8.0,45.30053797535439,,,,55.49462268258615,
1990,9.0,128.50285596080263,,,,157.4201504860533,
1990,10.0,128.33418802988814,,,,157.21352682101326,
1990,11.0,100.46349228803155,,,,123.07102403358599,
1990,12.0,97.18814284560216,,,,119.05861513989633,
1991,1.0,83.72121943197031,,,,102.56119884118982,
1991,2.0,98.12362812468136,,,,120.20461483234719,
1991,3.0,105.46522094421024,,,,129.19830324352222,
1991,4.0,98.64007792265829,,,,120.83728252138918,
1991,5.0,94.92087061887943,,,,116.28113340647548,
1991,6.0,122.41663460535104,,,,149.9643326794913,
1991,7.0,80.28399960071229,,,,98.35049349114426,
1991,8.0,79.84215940723098,,,,97.80922497824967,
1991,9.0,62.66256321326157,,,,76.76366456697582,
1991,10.0,105.20462233259533,,,,128.87906152433902,
1991,11.0,80.81589253840761,,,,99.00207952530998,
1991,12.0,84.47098171929902,,,,103.47968186802663,
1992,1.0,52.970736399431985,,,,64.89086357659781,
1992,2.0,60.15129688595743,,,,73.68728217688044,
1992,3.0,56.16438715290548,,,,68.80318893662755,
1992,4.0,70.48311876895794,,,,86.34409780526734,
1992,5.0,91.90487199585571,,,,112.58643764619647,
1992,6.0,113.0224666743355,,,,138.45617343793478,
1992,7.0,102.32051038963354,,,,125.3459312084015,
1992,8.0,74.15048739496935,,,,90.83674286500552,
1992,9.0,179.8353251469104,,,,220.30408379382865,
1992,10.0,135.076349901043,,,,165.4728929527845,
1992,11.0,113.55888923236775,,,,139.11330840336544,
1992,12.0,98.88553604703537,,,,121.1379766545161,
1993,1.0,182.15575986839252,178.7527486509535,,,129.53699655054186,
1993,2.0,120.84518956907253,114.21304072583986,,,99.1498189712016,
1993,3.0,152.9663252368732,139.10310094168835,,,142.02040832973145,
1993,4.0,81.60691170341005,56.501212274490356,,,129.2575942717166,
1993,5.0,143.7366069480462,120.82399881793067,,,163.31032267127264,
1993,6.0,105.10145623759311,88.19376002860977,,,119.87845730968513,
1993,7.0,111.65463883373977,97.81392018387797,,,114.90539963745516,
1993,8.0,118.4228438573009,123.0051111023039,,,63.69197914617204,
1993,9.0,164.53683297781626,170.8386394319528,,,88.68943154910359,
1993,10.0,108.80491723419956,103.00764326854733,,,88.74532544121037,
1993,11.0,111.52358749451435,93.76765931780463,,,126.64506054303644,
1993,12.0,60.99567291825876,39.29359551848601,,,105.48301351000538,
1994,1.0,107.00526111919086,94.05158522631835,,,109.18220607697802,
1994,2.0,64.06528010264691,46.185099483755074,,,95.9490853652317,
1994,3.0,107.48511049089753,104.71057335522028,,,78.75139412721286,
1994,4.0,81.0881077694735,74.11193390248036,,,74.15968583634772,
