,A1,A2,A3,P1,P2,DEF
A1,,0.03340058354042768,0.07406423952901306,0.1083047511211842,0.1278452536672547,0.4114437212116097
A2,0.03340058354042768,,0.04193587916955872,0.0832230986078244,0.1120259974723298,0.4042189813587845
A3,0.07406423952901306,0.04193587916955872,,0.043202807686506854,0.07865050342134654,0.38241863426591055
P1,0.1083047511211842,0.0832230986078244,0.043202807686506854,,0.035101949741280385,0.3669239067646029
P2,0.1278452536672547,0.1120259974723298,0.07865050342134654,0.035101949741280385,,0.34769134009056163
DEF,0.4114437212116097,0.4042189813587845,0.38241863426591055,0.3669239067646029,0.34769134009056163,
