,A1,A2,A3,P1,P2,DEF
A1,,0.037762014534251945,0.056728981406630935,0.0738928718497171,0.08516504183695646,0.16757548088246862
A2,0.037762014534251945,,0.027004874619081864,0.05274173217406618,0.06725391644811808,0.1506193523807679
A3,0.056728981406630935,0.027004874619081864,,0.02921489366702057,0.05753123493054286,0.15808964912751533
P1,0.0738928718497171,0.05274173217406618,0.02921489366702057,,0.0295019322255179,0.1546682801896848
P2,0.08516504183695646,0.06725391644811808,0.05753123493054286,0.0295019322255179,,0.1486508348754769
DEF,0.16757548088246862,0.1506193523807679,0.15808964912751533,0.1546682801896848,0.1486508348754769,
