,A1,A2,A3,P1,P2,DEF
A1,,0.002014318304189459,-0.01500977629144309,-0.01688538451530106,-0.035347617131245214,-0.08310807427678313
A2,-0.002014318304189459,,-0.016153638945623897,-0.017989340611527443,-0.033497885326169645,-0.07625784632663639
A3,0.01500977629144309,0.016153638945623897,,-0.002326571477547177,-0.01751202151063434,-0.05576998631458624
P1,0.01688538451530106,0.017989340611527443,0.002326571477547177,,-0.014776909204329086,-0.056134963513662726
P2,0.035347617131245214,0.033497885326169645,0.01751202151063434,0.014776909204329086,,-0.03144708168753029
DEF,0.08310807427678313,0.07625784632663639,0.05576998631458624,0.056134963513662726,0.03144708168753029,
