,A1,A2,A3,P1,P2,DEF
A1,,0.011646375760044516,-0.001269466897988748,-0.00419806705736709,-0.00255827942313834,-0.02702881772479315
A2,-0.011646375760044516,,-0.012273306113903017,-0.01513959563159246,-0.013943883358053556,-0.03365786529638885
A3,0.001269466897988748,0.012273306113903017,,-0.0040903225192063615,-0.002919520918032853,-0.01815037900898357
P1,0.00419806705736709,0.01513959563159246,0.0040903225192063615,,0.00105415615567829,-0.020115761467661177
P2,0.00255827942313834,0.013943883358053556,0.002919520918032853,-0.00105415615567829,,-0.015447888169019618
DEF,0.02702881772479315,0.03365786529638885,0.01815037900898357,0.020115761467661177,0.015447888169019618,
