,A0,A1,A2,A3,P1,P2,DEF
A0,,0.020449856681113928,0.11016468767577915,0.22921980078172963,0.26966206873513754,0.2565055811483202,0.41021436412474316
A1,-0.020449856681113928,,0.029038375521293992,0.05716580701193939,0.0656304190936037,0.04622677334918738,0.05888789541354981
A2,-0.11016468767577915,-0.029038375521293992,,0.02623599497851152,0.034420810372238556,0.01744411723834019,0.0336360832663275
A3,-0.22921980078172963,-0.05716580701193939,-0.02623599497851152,,0.007103676962159175,-0.009425684750714135,0.011427467927528951
P1,-0.26966206873513754,-0.0656304190936037,-0.034420810372238556,-0.007103676962159175,,-0.015662370129747714,0.0026215552087886828
P2,-0.2565055811483202,-0.04622677334918738,-0.01744411723834019,0.009425684750714135,0.015662370129747714,,0.02475663628577017
DEF,-0.41021436412474316,-0.05888789541354981,-0.0336360832663275,-0.011427467927528951,-0.0026215552087886828,-0.02475663628577017,
