,A0,A1,A2,A3,P1,P2,DEF
A0,,0.2859025072070875,0.35001484985742526,0.46685924021569547,0.5464729764721433,0.5573731799942228,0.6630730567718518
A1,0.2859025072070875,,0.07300473476942276,0.14223646294724135,0.18441917746307424,0.19834709249375926,0.45318203048749833
A2,0.35001484985742526,0.07300473476942276,,0.07256248466429661,0.127800411598551,0.16280453835589967,0.4308594332235873
A3,0.46685924021569547,0.14223646294724135,0.07256248466429661,,0.06317027142700422,0.10777190960357577,0.39213797485791324
P1,0.5464729764721433,0.18441917746307424,0.127800411598551,0.06317027142700422,,0.04739572758757217,0.3532667214494569
P2,0.5573731799942228,0.19834709249375926,0.16280453835589967,0.10777190960357577,0.04739572758757217,,0.32352758907022133
DEF,0.6630730567718518,0.45318203048749833,0.4308594332235873,0.39213797485791324,0.3532667214494569,0.32352758907022133,
